,game_date,player_name,pitcher
581,2018,"López, Reynaldo",625643
582,2016,"Syndergaard, Noah",592789
583,2017,"Kluber, Corey",446372
584,2014,"Wheeler, Zack",554430
585,2014,"Wheeler, Zack",554430
586,2017,"Kluber, Corey",446372
587,2014,"Samardzija, Jeff",502188
588,2018,"Márquez, Germán",608566
589,2017,"Porcello, Rick",519144
590,2018,"Lynn, Lance",458681
591,2020,"Gibson, Kyle",502043
592,2015,"Samardzija, Jeff",502188
593,2017,"Odorizzi, Jake",543606
594,2018,"Nola, Aaron",605400
595,2018,"Stratton, Chris",608717
596,2016,"Jiménez, Ubaldo",434622
597,2018,"Leake, Mike",502190
598,2017,"Archer, Chris",502042
599,2021,"Wheeler, Zack",554430
600,2016,"Cueto, Johnny",456501
601,2014,"Morton, Charlie",450203
602,2017,"Fulmer, Michael",605242
603,2017,"Verlander, Justin",434378
604,2017,"Archer, Chris",502042
605,2016,"Wainwright, Adam",425794
606,2021,"Giolito, Lucas",608337
607,2019,"Strasburg, Stephen",544931
608,2019,"Bieber, Shane",669456
609,2017,"Davies, Zach",605200
610,2014,"Karns, Nate",501992
611,2015,"McHugh, Collin",543521
612,2014,"Vólquez, Edinson",450172
613,2014,"Gallardo, Yovani",451596
614,2017,"Fister, Doug",450729
615,2014,"Vólquez, Edinson",450172
616,2016,"Sánchez, Aníbal",434671
617,2016,"Wacha, Michael",608379
618,2014,"Cueto, Johnny",456501
619,2018,"Gibson, Kyle",502043
620,2016,"Gray, Sonny",543243
621,2016,"Pineda, Michael",501381
622,2014,"Estrada, Marco",462136
623,2016,"Chacín, Jhoulys",468504
624,2014,"Ramírez, Erasmo",541640
625,2015,"Scherzer, Max",453286
626,2014,"Lincecum, Tim",453311
627,2014,"Hernández, Félix",433587
628,2016,"Cueto, Johnny",456501
629,2015,"Ventura, Yordano",570649
630,2016,"Kluber, Corey",446372
631,2019,"Bauer, Trevor",545333
632,2014,"Kluber, Corey",446372
633,2017,"Anderson, Chase",502624
634,2014,"Tillman, Chris",501957
635,2016,"Gausman, Kevin",592332
636,2017,"Archer, Chris",502042
637,2014,"Stroman, Marcus",573186
638,2014,"Ross, Tyson",475115
639,2018,"Lynn, Lance",458681
640,2019,"Plesac, Zach",668676
641,2016,"DeSclafani, Anthony",543101
642,2017,"Scherzer, Max",453286
643,2018,"Cashner, Andrew",488768
644,2018,"deGrom, Jacob",594798
645,2017,"Santana, Ervin",429722
646,2018,"Kluber, Corey",446372
647,2014,"Tanaka, Masahiro",547888
648,2014,"Kendrick, Kyle",452718
649,2017,"Syndergaard, Noah",592789
650,2015,"Collmenter, Josh",518567
651,2016,"Ventura, Yordano",570649
652,2014,"Scherzer, Max",453286
653,2014,"Cueto, Johnny",456501
654,2015,"Greinke, Zack",425844
655,2015,"Cashner, Andrew",488768
656,2018,"Cole, Gerrit",543037
657,2017,"Bauer, Trevor",545333
658,2015,"Carrasco, Carlos",471911
659,2014,"Ventura, Yordano",570649
660,2015,"Samardzija, Jeff",502188
661,2014,"Harang, Aaron",421685
662,2015,"Hernández, Félix",433587
663,2014,"McHugh, Collin",543521
664,2014,"deGrom, Jacob",594798
665,2017,"Cueto, Johnny",456501
666,2018,"Shields, James",448306
667,2016,"Vólquez, Edinson",450172
668,2020,"Cole, Gerrit",543037
669,2014,"Hudson, Tim",218596
670,2016,"González, Miguel",456068
671,2020,"Giolito, Lucas",608337
672,2015,"Bauer, Trevor",545333
673,2018,"Wheeler, Zack",554430
674,2014,"Hernández, Félix",433587
675,2014,"McAllister, Zach",502083
676,2016,"Kluber, Corey",446372
677,2014,"Lynn, Lance",458681
678,2014,"Scherzer, Max",453286
679,2015,"Dickey, R.A.",285079
680,2014,"Cosart, Jarred",543054
681,2017,"Straily, Dan",573185
